Order_ID,Order_Date,Customer_ID,Customer_Age,Customer_Gender,Region,State,City,Product_Category,Quantity,Unit_Price,Total_Amount,Channel
ORD-100001,2022-08-17,CUST-1409,65,Male,Midwest,Illinois,Naperville,Electronics,2,374.77,749.54,Online
ORD-100002,2022-07-11,CUST-4582,32,Female,Northeast,Pennsylvania,Philadelphia,Sports,7,70.7,494.9,Online
ORD-100003,2022-01-14,CUST-3615,62,Male,South,Texas,Houston,Home,2,45.97,91.94,Online
ORD-100004,2023-12-06,CUST-5333,69,Male,West,Colorado,Denver,Beauty,2,70.72,141.44,In-Store
ORD-100005,2024-01-11,CUST-4150,63,Male,Midwest,Ohio,Columbus,Clothing,2,66.32,132.64,Online
ORD-100006,2024-01-18,CUST-3664,41,Male,South,Georgia,Athens,Electronics,3,343.78,1031.34,Online
ORD-100007,2024-08-04,CUST-7216,35,Other,Midwest,Michigan,Grand Rapids,Electronics,4,501.99,2007.96,In-Store
ORD-100008,2024-04-01,CUST-5386,22,Male,South,Texas,Austin,Beauty,7,107.32,751.24,In-Store
ORD-100009,2022-10-20,CUST-5339,26,Male,South,Georgia,Athens,Beauty,7,49.82,348.74,In-Store
ORD-100010,2022-10-11,CUST-9348,49,Male,Northeast,New York,New York,Clothing,7,95.52,668.64,Online
ORD-100011,2024-08-16,CUST-9669,34,Other,Northeast,Pennsylvania,Allentown,Electronics,5,472.73,2363.65,Online
ORD-100012,2023-08-25,CUST-8123,28,Male,South,Georgia,Atlanta,Sports,2,220.22,440.44,Online
ORD-100013,2024-11-05,CUST-4258,27,Male,Midwest,Michigan,Ann Arbor,Electronics,6,318.73,1912.38,Online
ORD-100014,2024-01-14,CUST-6038,33,Male,Northeast,New York,Rochester,Beauty,2,117.58,235.16,Online
ORD-100015,2022-09-15,CUST-3103,60,Male,Midwest,Ohio,Cincinnati,Sports,7,241.8,1692.6,In-Store
ORD-100016,2023-02-16,CUST-6107,43,Other,South,Florida,Tampa,Beauty,2,37.27,74.54,Online
ORD-100017,2022-02-13,CUST-4770,55,Male,Northeast,Pennsylvania,Allentown,Electronics,4,87.07,348.28,Online
